Fecha,Cierre,Apertura,Máximo,Mínimo,% var.
03/01/2000,9.405,9.425,9.425,9.36,-0.0105
04/01/2000,9.58,9.408,9.585,9.408,0.0186
05/01/2000,9.5205,9.5825,9.6075,9.5075,-0.0062
06/01/2000,9.576,9.53,9.625,9.53,0.0058
07/01/2000,9.48,9.61,9.61,9.47,-0.01
10/01/2000,9.455,9.475,9.475,9.427,-0.0026
11/01/2000,9.517,9.455,9.52,9.455,0.0066
12/01/2000,9.535,9.515,9.585,9.499,0.0019
13/01/2000,9.475,9.535,9.545,9.474,-0.0063
14/01/2000,9.42,9.49,9.495,9.41,-0.0058
17/01/2000,9.424,9.415,9.435,9.409,0.0004
18/01/2000,9.41,9.423,9.471,9.395,-0.0015
19/01/2000,9.415,9.41,9.452,9.405,0.0005
20/01/2000,9.43,9.412,9.458,9.385,0.0016
21/01/2000,9.465,9.43,9.514,9.42,0.0037
24/01/2000,9.5245,9.4705,9.5325,9.4395,0.0063
25/01/2000,9.52,9.535,9.555,9.505,-0.0005
26/01/2000,9.505,9.523,9.54,9.5,-0.0016
27/01/2000,9.536,9.5,9.547,9.493,0.0033
28/01/2000,9.6045,9.5375,9.6045,9.5275,0.0072
31/01/2000,9.587,9.61,9.67,9.585,-0.0018
01/02/2000,9.5935,9.5905,9.6055,9.5505,0.0007
02/02/2000,9.54,9.591,9.618,9.514,-0.0056
03/02/2000,9.49,9.535,9.54,9.455,-0.0052
04/02/2000,9.447,9.495,9.51,9.41,-0.0045
07/02/2000,9.422,9.445,9.445,9.417,-0.0026
08/02/2000,9.397,9.425,9.427,9.395,-0.0027
09/02/2000,9.435,9.4,9.442,9.386,0.004
10/02/2000,9.42,9.43,9.52,9.405,-0.0016
11/02/2000,9.427,9.417,9.435,9.405,0.0007
14/02/2000,9.395,9.427,9.437,9.395,-0.0034
15/02/2000,9.369,9.381,9.401,9.345,-0.0028
16/02/2000,9.367,9.354,9.387,9.354,-0.0002
17/02/2000,9.36,9.365,9.401,9.36,-0.0007
18/02/2000,9.395,9.355,9.4,9.3159,0.0037
21/02/2000,9.41,9.397,9.42,9.38,0.0016
22/02/2000,9.4275,9.4075,9.4575,9.3625,0.0019
23/02/2000,9.375,9.425,9.43,9.36,-0.0056
24/02/2000,9.3835,9.3725,9.4095,9.3475,0.0009
25/02/2000,9.38,9.388,9.39,9.365,-0.0004
28/02/2000,9.385,9.382,9.417,9.365,0.0005
29/02/2000,9.369,9.385,9.385,9.352,-0.0017
01/03/2000,9.345,9.372,9.375,9.34,-0.0026
02/03/2000,9.3235,9.3285,9.3525,9.3185,-0.0023
03/03/2000,9.319,9.313,9.322,9.295,-0.0005
06/03/2000,9.328,9.315,9.33,9.305,0.001
07/03/2000,9.282,9.33,9.345,9.27,-0.0049
08/03/2000,9.265,9.29,9.291,9.247,-0.0018
09/03/2000,9.282,9.267,9.298,9.255,0.0018
10/03/2000,9.325,9.287,9.335,9.28,0.0046
13/03/2000,9.32,9.32,9.385,9.295,-0.0005
14/03/2000,9.34,9.318,9.34,9.305,0.0021
15/03/2000,9.322,9.332,9.358,9.315,-0.0019
16/03/2000,9.335,9.31,9.335,9.308,0.0014
17/03/2000,9.318,9.332,9.355,9.309,-0.0018
20/03/2000,9.317,9.32,9.329,9.302,-0.0001
21/03/2000,9.2895,9.3025,9.3225,9.2875,-0.003
22/03/2000,9.246,9.288,9.297,9.237,-0.0047
23/03/2000,9.21,9.246,9.282,9.2,-0.0039
24/03/2000,9.217,9.21,9.225,9.12,0.0008
27/03/2000,9.196,9.215,9.225,9.165,-0.0023
28/03/2000,9.222,9.209,9.235,9.175,0.0028
29/03/2000,9.261,9.225,9.284,9.207,0.0042
30/03/2000,9.304,9.269,9.341,9.248,0.0046
31/03/2000,9.262,9.283,9.301,9.25,-0.0045
03/04/2000,9.2945,9.2565,9.3205,9.2505,0.0035
04/04/2000,9.3305,9.2805,9.4525,9.2505,0.0039
05/04/2000,9.3775,9.3305,9.4355,9.3205,0.005
06/04/2000,9.363,9.38,9.39,9.345,-0.0015
07/04/2000,9.292,9.353,9.365,9.292,-0.0076
10/04/2000,9.352,9.284,9.359,9.274,0.0065
11/04/2000,9.379,9.33,9.433,9.293,0.0029
12/04/2000,9.433,9.373,9.445,9.355,0.0058
13/04/2000,9.443,9.433,9.444,9.389,0.0011
14/04/2000,9.53,9.426,9.57,9.426,0.0092
17/04/2000,9.428,9.473,9.548,9.423,-0.0107
18/04/2000,9.39,9.403,9.452,9.385,-0.004
19/04/2000,9.421,9.38,9.437,9.38,0.0033
20/04/2000,9.392,9.42,9.42,9.392,-0.0031
21/04/2000,9.405,9.4,9.405,9.395,0.0014
24/04/2000,9.44,9.42,9.486,9.42,0.0037
25/04/2000,9.4,9.415,9.42,9.385,-0.0042
26/04/2000,9.414,9.4,9.417,9.391,0.0015
27/04/2000,9.43,9.428,9.472,9.413,0.0017
28/04/2000,9.392,9.43,9.43,9.388,-0.004
01/05/2000,9.322,9.387,9.387,9.315,-0.0075
02/05/2000,9.34,9.322,9.355,9.32,0.0019
03/05/2000,9.395,9.34,9.405,9.337,0.0059
04/05/2000,9.42,9.385,9.45,9.38,0.0027
05/05/2000,9.463,9.416,9.508,9.393,0.0046
08/05/2000,9.448,9.463,9.518,9.443,-0.0016
09/05/2000,9.508,9.483,9.544,9.455,0.0064
10/05/2000,9.615,9.488,9.654,9.483,0.0113
11/05/2000,9.581,9.573,9.64,9.567,-0.0035
12/05/2000,9.585,9.58,9.599,9.553,0.0004
15/05/2000,9.53,9.563,9.61,9.529,-0.0057
16/05/2000,9.505,9.528,9.536,9.486,-0.0026
17/05/2000,9.536,9.495,9.563,9.495,0.0033
18/05/2000,9.564,9.541,9.597,9.539,0.0029
19/05/2000,9.5695,9.5635,9.6425,9.5485,0.0006
22/05/2000,9.51,9.555,9.6,9.508,-0.0062
23/05/2000,9.546,9.518,9.552,9.488,0.0038
24/05/2000,9.48,9.548,9.561,9.448,-0.0069
25/05/2000,9.5375,9.5045,9.5375,9.4675,0.0061
26/05/2000,9.5475,9.5125,9.5695,9.4845,0.001
29/05/2000,9.54,9.53,9.555,9.53,-0.0008
30/05/2000,9.515,9.542,9.542,9.512,-0.0026
31/05/2000,9.5225,9.5175,9.5355,9.5175,0.0008
01/06/2000,9.52,9.518,9.533,9.498,-0.0003
02/06/2000,9.547,9.512,9.565,9.492,0.0028
05/06/2000,9.5845,9.5545,9.5975,9.5225,0.0039
06/06/2000,9.7575,9.5815,9.7925,9.5485,0.018
